Country,Production,Consumption
Cabo Verde,149,2609
Cabo Verde,181,2523
Cabo Verde,181,2517
Cabo Verde,181,2513
Cabo Verde,181,2574
Cabo Verde,181,2540
Cabo Verde,181,2558
Cabo Verde,181,2524
Cabo Verde,181,2566
Cabo Verde,181,2590
Cabo Verde,181,2609
Cabo Verde,187,2523
Cabo Verde,187,2517
Cabo Verde,187,2513
Cabo Verde,187,2574
Cabo Verde,187,2540
Cabo Verde,187,2558
Cabo Verde,187,2524
Cabo Verde,187,2566
Cabo Verde,187,2590
Cabo Verde,187,2609
Cabo Verde,192,2523
Cabo Verde,192,2517
Cabo Verde,192,2513
Cabo Verde,192,2574
Cabo Verde,192,2540
Cabo Verde,192,2558
Cabo Verde,192,2524
Cabo Verde,192,2566
Cabo Verde,192,2590
Cabo Verde,192,2609
Cameroon,13739,2246
Cameroon,13739,2311
Cameroon,13739,2354
Cameroon,13739,2378
Cameroon,13739,2446
Cameroon,13739,2492
Cameroon,13739,2510
Cameroon,13739,2573
Cameroon,13739,2622
Cameroon,13739,2671
Cameroon,16033,2246
Cameroon,16033,2311
Cameroon,16033,2354
Cameroon,16033,2378
Cameroon,16033,2446
Cameroon,16033,2492
Cameroon,16033,2510
Cameroon,16033,2573
Cameroon,16033,2622
Cameroon,16033,2671
Cameroon,16962,2246
Cameroon,16962,2311
Cameroon,16962,2354
Cameroon,16962,2378
Cameroon,16962,2446
Cameroon,16962,2492
Cameroon,16962,2510
Cameroon,16962,2573
